[2017-10-21 17:11:58]	 Pacman collected 1 points!
[2017-10-21 17:14:42]	 Pacman collected 1 points!
[2017-10-21 18:29:12]	 Pacman collected 1 points!
[2017-10-21 18:29:12]	 Pacman collected 5 points!
[2017-10-21 18:29:12]	 Pacman collected 1 points!
[2017-10-21 18:29:13]	 Pacman collected 1 points!
[2017-10-21 18:29:13]	 Pacman collected 5 points!
[2017-10-21 18:29:13]	 Pacman collected 5 points!
[2017-10-21 18:29:15]	 Pacman collected 1 points!
[2017-10-21 18:29:15]	 Pacman collected 1 points!
[2017-10-21 18:29:15]	 Pacman collected 1 points!
[2017-10-21 18:29:15]	 Pacman collected 1 points!
[2017-10-21 18:29:16]	 Pacman collected 5 points!
[2017-10-21 18:29:16]	 Pacman collected 1 points!
[2017-10-21 18:29:16]	 Pacman collected 5 points!
[2017-10-21 18:29:17]	 Pacman collected 1 points!
[2017-10-21 18:29:17]	 Pacman collected 1 points!
[2017-10-21 18:29:18]	 Pacman collected 5 points!
[2017-10-21 18:29:18]	 Pacman collected 1 points!
[2017-10-21 18:29:18]	 Pacman collected 1 points!
[2017-10-21 18:29:20]	 Pacman collected 1 points!
[2017-10-21 18:29:31]	 Run Ability Activated!
[2017-10-21 18:29:32]	 Jump Ability Activated!
[2017-10-21 18:29:33]	 Teleport Ability Activated!
[2017-10-21 18:29:34]	 Pacman collected 1 points!
[2017-10-21 18:29:35]	 Pacman collected 1 points!
[2017-10-21 18:29:50]	 Pacman collected 1 points!
[2017-10-21 18:29:50]	 Pacman collected 1 points!
[2017-10-21 18:31:55]	 Pacman collected 1 points!
[2017-10-21 18:31:55]	 Pacman collected 5 points!
[2017-10-21 18:37:16]	 Pacman collected 1 points!
[2017-10-21 18:37:16]	 Pacman collected 1 points!
[2017-10-21 18:38:28]	 Pacman collected 1 points!
[2017-10-21 18:38:28]	 Pacman collected 1 points!
[2017-10-21 18:38:54]	 Pacman collected 5 points!
[2017-10-21 18:38:55]	 Pacman collected 5 points!
[2017-10-21 18:38:55]	 Pacman collected 1 points!
[2017-10-21 18:38:55]	 Pacman collected 1 points!
[2017-10-21 18:59:34]	 Pacman collected 1 points!
[2017-10-21 19:03:00]	 Pacman collected 1 points!
[2017-10-21 19:14:12]	 Pacman collected 1 points!
[2017-10-21 19:14:15]	 Pacman collected 1 points!
[2017-10-21 19:14:16]	 Pacman collected 1 points!
[2017-10-21 19:15:53]	 Pacman collected 1 points!
[2017-10-21 19:16:35]	 Pacman collected 1 points!
[2017-10-21 19:31:30]	 Pacman collected 1 points!
[2017-10-21 19:47:39]	 Pacman collected 1 points!
[2017-10-21 20:08:11]	 Pacman collected 1 points!
[2017-10-21 20:08:17]	 Pacman collected 1 points!
[2017-10-21 20:08:17]	 Pacman collected 5 points!
[2017-10-21 20:08:17]	 Pacman collected 1 points!
[2017-10-21 20:08:17]	 Pacman collected 5 points!
[2017-10-21 20:08:17]	 Pacman collected 5 points!
[2017-10-21 20:08:18]	 Pacman collected 1 points!
[2017-10-21 20:08:32]	 Pacman collected 1 points!
[2017-10-21 20:08:33]	 Pacman collected 1 points!
[2017-10-21 20:09:12]	 Pacman collected 1 points!
[2017-10-21 20:09:12]	 Pacman collected 1 points!
